,PF,modelo,PJ
253,46280717W,159,6336990F
254,46280717W,189,1173158C
255,46280717W,11,3113560G
256,46280717W,181,3915254X
257,19719215G,159,6336990F
258,19719215G,189,1173158C
259,19719215G,181,3915254X
260,19719215G,159,6336990F
261,52664235P,159,6336990F
262,52664235P,189,1173158C
263,52664235P,11,2023440S
264,52664235P,198,6272000S
265,52664235P,190,5687119R
266,52664235P,190,5687119R
267,99332988J,5,8995679B
268,99332988J,198,6272000S
269,99332988J,198,6272000S
270,89186003F,159,6336990F
271,89186003F,189,1173158C
272,89186003F,11,3113560G
273,89186003F,171,6108974J
274,64552086X,159,6336990F
275,64552086X,189,1173158C
276,64552086X,159,6336990F
277,64552086X,159,6336990F
278,97562134K,159,6336990F
279,97562134K,189,1173158C
280,97562134K,11,7527435H
281,97562134K,5,8995679B
282,97562134K,181,3915254X
283,97562134K,180,7295647R
284,54239132A,159,6336990F
285,54239132A,189,1173158C
286,54239132A,11,3113560G
287,54239132A,189,1173158C
288,54239132A,181,3915254X
289,54239132A,190,5687119R
290,93242474Z,159,6336990F
291,93242474Z,189,1173158C
292,93242474Z,181,3915254X
293,93242474Z,190,5687119R
294,93242474Z,188,8827294D
295,51075794Q,159,6336990F
296,51075794Q,189,1173158C
297,51075794Q,11,6304936S
298,51075794Q,111,6304936S
299,42865654W,159,6336990F
300,42865654W,189,1173158C
301,42865654W,11,3113560G
302,42865654W,187,8455054R
303,97791876Q,159,6336990F
304,97791876Q,189,1173158C
305,97791876Q,11,2023440S
306,97791876Q,187,8455054R
307,81958008S,159,6336990F
308,81958008S,189,1173158C
309,81958008S,11,2023440S
310,20448244W,159,6336990F
311,20448244W,189,1173158C
312,20448244W,11,7527435H
313,20448244W,171,6108974J
314,20448244W,345,6498402M
315,20448244W,198,6272000S
316,99064751W,11,1920759Y
317,99064751W,180,7295647R
318,99064751W,5,8995679B
319,58839072N,159,6336990F
320,58839072N,189,1173158C
321,58839072N,11,6304936S
322,58839072N,188,8827294D
323,78204605M,159,6336990F
324,78204605M,189,1173158C
325,78204605M,11,1920759Y
326,78204605M,196,5004389A
327,78204605M,187,8455054R
328,78204605M,198,6272000S
329,94396387V,159,6336990F
330,94396387V,189,1173158C
331,94396387V,11,7527435H
332,94396387V,198,6272000S
333,21653602E,159,6336990F
334,21653602E,189,1173158C
335,21653602E,11,7527435H
336,21653602E,188,8827294D
337,21653602E,345,6498402M
338,88266783M,159,6336990F
339,88266783M,189,1173158C
340,88266783M,11,6304936S
341,20327545F,159,6336990F
342,20327545F,189,1173158C
343,20327545F,11,6304936S
344,20327545F,187,8455054R
345,20327545F,5,8995679B
346,20327545F,196,5004389A
347,98581749T,11,2023440S
348,63120028R,159,6336990F
349,63120028R,189,1173158C
350,63120028R,11,3113560G
351,63120028R,171,6108974J
352,68185675J,159,6336990F
353,68185675J,189,1173158C
354,68185675J,11,1920759Y
355,68185675J,187,8455054R
356,68185675J,190,5687119R
357,68185675J,180,7295647R
358,22864046E,11,2023440S
359,61445965Q,11,6304936S
360,61445965Q,181,3915254X
361,61445965Q,345,6498402M
362,75571647H,159,6336990F
363,75571647H,189,1173158C
364,75571647H,11,7527435H
365,75571647H,198,6272000S
366,75571647H,187,8455054R
367,87264356X,11,7527435H
368,87264356X,5,8995679B
369,87264356X,196,5004389A
370,38031133N,159,6336990F
371,38031133N,189,1173158C
372,38031133N,11,2023440S
373,38031133N,189,1173158C
374,38031133N,196,5004389A
375,38031133N,159,6336990F
376,88268296T,159,6336990F
377,88268296T,189,1173158C
378,88268296T,11,6304936S
379,88268296T,188,8827294D
380,88268296T,188,8827294D
381,88268296T,190,5687119R
382,12826742X,159,6336990F
383,12826742X,189,1173158C
384,12826742X,159,6336990F
385,12826742X,171,6108974J
386,11874000C,11,6304936S
387,11874000C,189,1173158C
388,11874000C,187,8455054R
389,81925837K,159,6336990F
390,81925837K,189,1173158C
391,92606796X,159,6336990F
392,92606796X,189,1173158C
393,92606796X,196,5004389A
394,92606796X,181,3915254X
395,92606796X,345,6498402M
396,79285262F,198,6272000S
397,79285262F,180,7295647R
398,79285262F,181,3915254X
399,45843158H,159,6336990F
400,45843158H,189,1173158C
401,45843158H,11,3113560G
402,45843158H,181,3915254X
403,45843158H,189,1173158C
404,96492968X,159,6336990F
405,96492968X,189,1173158C
406,96492968X,11,7527435H
407,96492968X,196,5004389A
408,96492968X,345,6498402M
409,96492968X,180,7295647R
410,10939561W,159,6336990F
411,10939561W,189,1173158C
412,12918195S,159,6336990F
413,12918195S,189,1173158C
414,12918195S,11,2023440S
415,24188199L,159,6336990F
416,24188199L,189,1173158C
417,24188199L,11,7527435H
418,24188199L,5,8995679B
419,71229848K,11,3113560G
420,55486708J,159,6336990F
421,55486708J,189,1173158C
422,36273964C,159,6336990F
423,36273964C,189,1173158C
424,36273964C,11,2023440S
425,55081882X,11,2023440S
426,55081882X,345,6498402M
427,55081882X,171,6108974J
428,26956136K,159,6336990F
429,26956136K,189,1173158C
430,26956136K,11,6304936S
431,61201154V,11,6304936S
432,87905737J,159,6336990F
433,87905737J,189,1173158C
434,87905737J,11,6304936S
435,87905737J,181,3915254X
436,77478730X,189,1173158C
437,77478730X,171,6108974J
438,77478730X,345,6498402M
439,92980750F,11,7527435H
440,25782890M,159,6336990F
441,25782890M,189,1173158C
442,25782890M,11,2023440S
443,25782890M,171,6108974J
444,25782890M,198,6272000S
445,25782890M,5,8995679B
446,32030339X,171,6108974J
447,81228705L,11,6304936S
448,81228705L,198,6272000S
449,81228705L,345,6498402M
450,26734355Y,11,2023440S
451,20442875S,11,2023440S
452,20442875S,188,8827294D
453,20442875S,190,5687119R
454,35195850P,159,6336990F
455,35195850P,189,1173158C
456,35195850P,159,6336990F
457,72571499J,159,6336990F
458,72571499J,189,1173158C
459,72571499J,11,2023440S
460,72571499J,198,6272000S
461,67539407E,159,6336990F
462,67539407E,189,1173158C
463,67539407E,11,3113560G
464,60264092K,159,6336990F
465,60264092K,189,1173158C
466,60264092K,11,6304936S
467,34853971R,11,6304936S
468,34853971R,111,6304936S
469,34853971R,188,8827294D
470,75838119N,159,6336990F
471,75838119N,189,1173158C
472,75838119N,11,1920759Y
473,75838119N,198,6272000S
474,75838119N,111,6304936S
475,75838119N,159,6336990F
476,63797527N,159,6336990F
477,63797527N,189,1173158C
478,63797527N,11,1920759Y
479,63797527N,189,1173158C
480,63797527N,345,6498402M
481,63797527N,171,6108974J
482,14947924V,11,6304936S
483,84435940L,159,6336990F
484,84435940L,189,1173158C
485,84435940L,11,2023440S
486,88297892H,11,3113560G
487,28001173F,159,6336990F
488,28001173F,189,1173158C
489,28001173F,11,1920759Y
490,28001173F,171,6108974J
491,28001173F,190,5687119R
492,28001173F,5,8995679B
493,98151335P,171,6108974J
494,98151335P,196,5004389A
495,33528460A,159,6336990F
496,33528460A,189,1173158C
497,33528460A,11,3113560G
498,33528460A,159,6336990F
499,33528460A,159,6336990F
500,33528460A,111,2023440S
501,69508905F,11,7527435H
502,20694535D,159,6336990F
503,20694535D,189,1173158C
504,20694535D,11,3113560G
505,20694535D,198,6272000S
506,36711980R,159,6336990F
507,36711980R,189,1173158C
508,36711980R,189,1173158C
509,36711980R,196,5004389A
510,27687639D,159,6336990F
511,27687639D,189,1173158C
512,27687639D,11,2023440S
513,62231004L,11,6304936S
514,62231004L,111,7527435H
515,62231004L,111,7527435H
516,53944861V,159,6336990F
517,53944861V,189,1173158C
518,53944861V,11,2023440S
519,53944861V,5,8995679B
520,53944861V,196,5004389A
521,53944861V,5,8995679B
522,36288035S,159,6336990F
523,36288035S,189,1173158C
524,36288035S,11,7527435H
525,36288035S,188,8827294D
526,36288035S,180,7295647R
527,36288035S,159,6336990F
528,31328244J,159,6336990F
529,31328244J,189,1173158C
530,31328244J,11,7527435H
531,31328244J,159,6336990F
532,31328244J,189,1173158C
533,41594491A,159,6336990F
534,41594491A,189,1173158C
535,41594491A,11,3113560G
536,41594491A,188,8827294D
537,97818205X,159,6336990F
538,97818205X,189,1173158C
539,97818205X,11,2023440S
540,97818205X,196,5004389A
541,97818205X,171,6108974J
542,97818205X,345,6498402M
543,82465809E,11,6304936S
544,39003809H,159,6336990F
545,39003809H,189,1173158C
546,39003809H,11,3113560G
547,39003809H,196,5004389A
548,36789597Q,159,6336990F
549,36789597Q,189,1173158C
550,36789597Q,11,6304936S
551,36789597Q,159,6336990F
552,36789597Q,189,1173158C
553,36789597Q,5,8995679B
554,84758009L,159,6336990F
555,84758009L,189,1173158C
556,84758009L,11,2023440S
557,84758009L,111,1920759Y
558,84758009L,111,6304936S
559,84758009L,181,3915254X
560,36013414Z,159,6336990F
561,36013414Z,189,1173158C
562,36013414Z,11,6304936S
563,36013414Z,198,6272000S
564,36013414Z,187,8455054R
565,42273637M,159,6336990F
566,42273637M,189,1173158C
567,17963854A,159,6336990F
568,17963854A,189,1173158C
569,17963854A,11,2023440S
570,17963854A,198,6272000S
571,17963854A,180,7295647R
572,17963854A,171,6108974J
573,72997611G,11,2023440S
574,72997611G,345,6498402M
575,72997611G,111,3113560G
576,72997611G,190,5687119R
577,30187222K,159,6336990F
578,30187222K,189,1173158C
579,47752290N,159,6336990F
580,47752290N,189,1173158C
581,47752290N,11,7527435H
582,47752290N,188,8827294D
583,47752290N,111,2023440S
584,47752290N,345,6498402M
585,80999923H,11,2023440S
586,80999923H,159,6336990F
587,80999923H,159,6336990F
588,80999923H,187,8455054R
589,41802056Q,159,6336990F
590,41802056Q,189,1173158C
591,41802056Q,11,7527435H
592,79229520V,159,6336990F
593,79229520V,189,1173158C
594,79229520V,11,3113560G
595,79229520V,181,3915254X
596,79229520V,159,6336990F
597,74958354C,11,2023440S
598,74958354C,111,7527435H
599,74958354C,190,5687119R
600,36191304E,159,6336990F
601,36191304E,189,1173158C
602,36191304E,11,2023440S
603,14567946E,11,3113560G
604,35656960Z,159,6336990F
605,35656960Z,189,1173158C
606,35656960Z,11,6304936S
607,35656960Z,181,3915254X
608,35656960Z,5,8995679B
609,35656960Z,171,6108974J
610,54937713M,159,6336990F
611,54937713M,189,1173158C
612,19394061R,159,6336990F
613,19394061R,189,1173158C
614,19394061R,11,7527435H
615,19394061R,5,8995679B
616,19394061R,5,8995679B
617,19394061R,196,5004389A
618,47476199J,11,6304936S
619,47476199J,159,6336990F
620,54310618M,159,6336990F
621,54310618M,189,1173158C
622,54310618M,11,2023440S
623,54310618M,189,1173158C
624,54310618M,196,5004389A
625,54310618M,171,6108974J
626,13680189L,159,6336990F
627,13680189L,189,1173158C
628,13680189L,11,1920759Y
629,13680189L,180,7295647R
630,13680189L,181,3915254X
631,21141896C,159,6336990F
632,21141896C,189,1173158C
633,21141896C,11,6304936S
634,21141896C,345,6498402M
635,29451111W,159,6336990F
636,29451111W,189,1173158C
637,29451111W,11,6304936S
638,29451111W,171,6108974J
639,29451111W,171,6108974J
640,73463865W,11,7527435H
641,73463865W,187,8455054R
642,73463865W,5,8995679B
643,18463571E,11,1920759Y
644,18463571E,345,6498402M
645,18463571E,189,1173158C
646,23318862J,159,6336990F
647,23318862J,189,1173158C
648,23318862J,11,7527435H
649,23318862J,159,6336990F
650,23318862J,171,6108974J
651,29589610H,159,6336990F
652,29589610H,189,1173158C
653,29589610H,198,6272000S
654,29589610H,5,8995679B
655,29589610H,180,7295647R
